page_slug,page_name,section_key,section_name,field_key,field_label,input_type,is_required,is_repeatable,example_value,notes
global,Global,seo,SEO Default,seo_title,SEO Title,text,yes,no,Quinland Grup - Developer Properti Indonesia,Digunakan jika page tidak punya SEO spesifik
global,Global,seo,SEO Default,seo_description,SEO Description,textarea,yes,no,Pengembang properti terpercaya di Indonesia.,Maks 155 karakter
welcome,Home Landing,hero,Hero Slider,slide_index,Urutan Slide,number,yes,yes,1,Isi 1 2 3 dst
welcome,Home Landing,hero,Hero Slider,slide_image,Background Image,image_url,yes,yes,/storage/media/hero-bg.jpg,Rasio disarankan 16:9
welcome,Home Landing,hero,Hero Slider,slide_alt,Alt Text Image,text,yes,yes,Modern city skyline with glass skyscrapers,Deskripsi aksesibilitas
welcome,Home Landing,hero,Hero Slider,slide_tagline,Tagline,text,yes,yes,Buy. Sell. Rent.,Teks kecil atas
welcome,Home Landing,hero,Hero Slider,slide_heading,Main Heading,text,yes,yes,Real Estate Done Right,Judul utama hero
welcome,Home Landing,hero,Hero Slider,slide_cta_label,CTA Label,text,no,yes,Lihat Properti,Kosongkan jika tidak ada tombol
welcome,Home Landing,hero,Hero Slider,slide_cta_url,CTA URL,url,no,yes,/property,Kosongkan jika tidak ada tombol
welcome,Home Landing,about,About Highlight,cover_image,Cover Image,image_url,yes,no,/storage/media/about-cover.jpg,Gambar section About Us
welcome,Home Landing,about,About Highlight,about_title,Title,text,yes,no,About Us,Judul overlay
welcome,Home Landing,about,About Highlight,about_description,Description,textarea,yes,no,We are a team of passionate professionals...,Deskripsi ketika klik Learn More
welcome,Home Landing,about_features,About Features,feature_index,Urutan Feature,number,yes,yes,1,Isi 1 2 3 4
welcome,Home Landing,about_features,About Features,feature_icon,Icon Name,text,yes,yes,BrickWall,Pilih dari icon library
welcome,Home Landing,about_features,About Features,feature_title,Feature Title,text,yes,yes,Walls,Judul kartu
welcome,Home Landing,about_features,About Features,feature_description,Feature Description,textarea,yes,yes,In construction for both external...,Isi deskripsi fitur
welcome,Home Landing,properties,Properties Section,section_title,Section Title,text,yes,no,Explore Our Top-Rated Properties,Judul section
welcome,Home Landing,properties,Properties Section,section_description,Section Description,textarea,yes,no,Discover exceptional properties...,Deskripsi section
welcome,Home Landing,properties,Properties Section,category_list,Category List,text,yes,no,Featured|Apartment|Residential|Condos|Cabins,Pisahkan dengan |
